product_name,price,product_url,image_url,category_name
İĞNELİK AYAKLI BEYAZ,"75,00₺",https://istockina.com/urun/ignelik-ayakli-beyaz/,https://istockina.com/wp-content/uploads/2026/04/IGNELIK-AYAKLI-768x1152.jpg,Kina Malzemeleri
TÜP KINA ECONOMİK ÜRÜN,"100,00₺",https://istockina.com/urun/tup-kina-economik-urun/,https://istockina.com/wp-content/uploads/2026/03/TUP-KINA-ECO-768x1152.jpg,Kina Malzemeleri
3’LÜ ALIMLARDA GELİN BUKETİ ECO ŞAKAYIK 2 RENK,"1.100,00₺",https://istockina.com/urun/3lu-alimlarda-gelin-buketi-eco-sakayik-2-renk/,https://istockina.com/wp-content/uploads/2026/03/GELIN-BUKETI-ECO-SAKAYIK-BEYAZ-768x1152.jpg,Kina Malzemeleri
NİŞAN TEPSİSİ DİLHUN MODEL KARE GOLD GÜMÜŞ,"610,00₺",https://istockina.com/urun/nisan-tepsisi-dilhun-model-kare-gold-gumus/,https://istockina.com/wp-content/uploads/2026/02/NISAN-TEPSISI-DILHUN-MODEL-KARE-GOLD-768x1152.jpg,Kina Malzemeleri
İNCİLİ YILDIZ ANAHTARLIK 50’Lİ PAKET,"500,00₺",https://istockina.com/urun/incili-yildiz-anahtarlik-50li-paket/,https://istockina.com/wp-content/uploads/2026/02/HEDIYELIK-INCILI-ANAHTARLIK-50LI-PAKET-768x1152.jpg,Kina Malzemeleri
İNCİLİ HALKA NİKAH ŞEKERİ 20’Lİ PAKET,"390,00₺",https://istockina.com/urun/incili-halka-nikah-sekeri-20li-paket/,https://istockina.com/wp-content/uploads/2026/02/HALKA-NIKAH-SEKERI-INCILI-MODEL-20LI-PAKET-768x1152.jpg,Kina Malzemeleri
EL MUMU SİMLİ FIRFIRLI 2 RENK,"50,00₺",https://istockina.com/urun/el-mumu-simli-firfirli-2-renk/,https://istockina.com/wp-content/uploads/2026/02/EL-MUMU-SIM-FIRFIRLI-BORDO-12LI-PAKET-768x1152.jpg,Kina Malzemeleri
ÇUBUK EL MUMU 3 RENK 12’Lİ PAKET,"17,50₺",https://istockina.com/urun/cubuk-el-mumu-3-renk-12li-paket/,https://istockina.com/wp-content/uploads/2026/02/CUBUK-EL-MUMU-12LI-PAKET-KIRMIZI-1-768x1152.jpg,Kina Malzemeleri
EL GÜLÜ FIRFIR DESENLİ 8Lİ PAKET 3 RENK,"50,00₺",https://istockina.com/urun/el-gulu-firfir-desenli-8li-paket-3-renk/,https://istockina.com/wp-content/uploads/2026/01/EL-GULU-FIRFIRLI-KIRMIZI-8LI-PAKET-1-768x1152.jpg,Kina Malzemeleri
EL MUMU TABAKLI 12Lİ PAKET 4 RENK,"48,00₺",https://istockina.com/urun/el-mumu-tabakli-12li-paket-4-renk/,https://istockina.com/wp-content/uploads/2026/01/EL-MUMU-TABAKLI-12LI-PAKET-KIRMIZI-1-768x1152.jpg,Kina Malzemeleri
HEDİYELİK FISFIS KOLONYA ŞİŞE 15Lİ PAKET KELEBEK DESENLİ GOLD,"500,00₺",https://istockina.com/urun/hediyelik-fisfis-kolonya-sise-15li-paket-kelebek-desenli-gold/,https://istockina.com/wp-content/uploads/2026/01/FISFIS-SISE-KOLONYA-15LI-PAKET-KELEBEK-DESENLI-GOLD-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ KADİFE CODE:1170 BORDO,"95,00₺",https://istockina.com/urun/halay-mendili-kadife-code1170-bordo/,https://istockina.com/wp-content/uploads/2026/01/KADIFE1170-BORDO-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ KADİFE CODE:1170 KIRMIZI,"95,00₺",https://istockina.com/urun/halay-mendili-kadife-code1170-kirmizi/,https://istockina.com/wp-content/uploads/2026/01/KADIFE-1170-KIRMZII-1-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ KADİFE CODE:1168 BORDO,"95,00₺",https://istockina.com/urun/halay-mendili-kadife-code1168-bordo/,https://istockina.com/wp-content/uploads/2026/01/1168-KADIFE-BORDO-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ KADİFE CODE:1168 KIRMIZI,"95,00₺",https://istockina.com/urun/halay-mendili-kadife-code1168-kirmizi/,https://istockina.com/wp-content/uploads/2026/01/1168-KADIFE-KRIMZI-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1170 BEYAZ,"55,00₺",https://istockina.com/urun/halay-mendili-code1170-beyaz/,https://istockina.com/wp-content/uploads/2026/01/1170-BEYAZ-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1168 BORDO,"55,00₺",https://istockina.com/urun/halay-mendili-code1168-bordo-2/,https://istockina.com/wp-content/uploads/2026/01/1168-BORDO-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1160 BEYAZ,"55,00₺",https://istockina.com/urun/halay-mendili-code1160-beyaz/,https://istockina.com/wp-content/uploads/2026/01/1160-BEYAZ-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ KADİFE CODE:1168 BEYAZ,"95,00₺",https://istockina.com/urun/halay-mendili-kadife-code1168-beyaz/,https://istockina.com/wp-content/uploads/2026/01/1168-BEYAZ-1-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1167 BORDO,"55,00₺",https://istockina.com/urun/halay-mendili-code1167-bordo/,https://istockina.com/wp-content/uploads/2026/01/HALAY-MENDILI-1167-BORDO-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1160 BORDO,"55,00₺",https://istockina.com/urun/halay-mendili-code1160-bordo/,https://istockina.com/wp-content/uploads/2026/01/1160-BORDO-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1160 KIRMIZI,"55,00₺",https://istockina.com/urun/halay-mendili-code1160-kirmizi/,https://istockina.com/wp-content/uploads/2026/01/1160-KIRMIZI-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1167 KIRMIZI,"55,00₺",https://istockina.com/urun/halay-mendili-code1167-kirmizi/,https://istockina.com/wp-content/uploads/2026/01/1167-KIRMZI-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1167 BEYAZ,"55,00₺",https://istockina.com/urun/halay-mendili-code1167-beyaz/,https://istockina.com/wp-content/uploads/2026/01/1167-beyaz-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1168 BORDO,"55,00₺",https://istockina.com/urun/halay-mendili-code1168-bordo/,https://istockina.com/wp-content/uploads/2026/01/1168-BBORDO-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1168 KIRMIZI,"55,00₺",https://istockina.com/urun/halay-mendili-code1168-kirmizi/,https://istockina.com/wp-content/uploads/2026/01/1168-KKIRMIZI-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1168 BEYAZ,"55,00₺",https://istockina.com/urun/halay-mendili-code1168-beyaz/,https://istockina.com/wp-content/uploads/2026/01/1168-BBEYAZ-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1169 BEYAZ,"55,00₺",https://istockina.com/urun/halay-mendili-code1169-beyaz/,https://istockina.com/wp-content/uploads/2026/01/1169-BEYAZ-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1169 BORDO,"55,00₺",https://istockina.com/urun/halay-mendili-code1169-bordo/,https://istockina.com/wp-content/uploads/2026/01/1169-BORDO-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1169 KIRMIZI,"55,00₺",https://istockina.com/urun/halay-mendili-code1169-kirmizi/,https://istockina.com/wp-content/uploads/2026/01/1169-KIRMIZI-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1165 SATEN BORDO,"95,00₺",https://istockina.com/urun/halay-mendili-code1165-saten-bordo/,https://istockina.com/wp-content/uploads/2026/01/HALAY-MENDILI-1165-SATEN-BORDO-768x1152.jpg,Kina Malzemeleri
HALAY MENDİLİ CODE:1166 SATEN BEYAZ,"95,00₺",https://istockina.com/urun/halay-mendili-code1166-saten-beyaz/,https://istockina.com/wp-content/uploads/2026/01/HALAY-MENDILI-1165-BEYAZ-SATEN-768x1152.jpg,Kina Malzemeleri
DAMAT FİNCANI OSMANLI MODEL GÜMÜŞ,"100,00₺",https://istockina.com/urun/damat-fincani-osmanli-model-gumus/,https://istockina.com/wp-content/uploads/2025/12/damat-kahve-fincani-768x768.jpg,Kina Malzemeleri
YELPAZE 70CM GELİN YELPAZESİ,"125,00₺",https://istockina.com/urun/yelpaze-70cm-gelin-yelpazesi/,https://istockina.com/wp-content/uploads/2025/11/WhatsApp-Image-2025-11-28-at-10.12.58-768x1152.jpeg,Kina Malzemeleri
şifreli sandık,"325,00₺",https://istockina.com/urun/sifreli-sandik/,https://istockina.com/wp-content/uploads/2025/10/SIFRELI-SANDIK-768x1152.jpg,Kina Malzemeleri
20’Lİ ALIM YEŞİL EL GÜLÜ MUMLU 12’Lİ,"50,00₺",https://istockina.com/urun/20li-alim-yesil-el-gulu-mumlu-12li/,https://istockina.com/wp-content/uploads/2025/10/YESIL-EL-GULU-MUMLU-768x1152.jpg,Kina Malzemeleri
TEKLİ ALIM YEŞİL EL GÜLÜ MUMLU 12’Lİ,"50,00₺",https://istockina.com/urun/tekli-alim-yesil-el-gulu-mumlu-12li/,https://istockina.com/wp-content/uploads/2025/10/de3313d4-f31c-47b6-a46e-baa3c0db3329-768x1024.jpg,Kina Malzemeleri
20’Lİ ALIM LACİVERT EL GÜLÜ MUMLU 12’Lİ,"50,00₺",https://istockina.com/urun/20li-alim-lacivert-el-gulu-mumlu-12li/,https://istockina.com/wp-content/uploads/2025/10/LACIVERT-EL-GULU-MUMLU-768x1152.jpg,Kina Malzemeleri
TEKLİ ALIM LACİVERT EL GÜLÜ MUMLU 12’Lİ,"50,00₺",https://istockina.com/urun/tekli-alim-lacivert-el-gulu-mumlu-12li/,https://istockina.com/wp-content/uploads/2025/10/LACIVERT-EL-GULU-MUMLU-1-768x1152.jpg,Kina Malzemeleri
